time,datetime,elevation,slope,aspect,hillshade,time_end
1334880000000,2012-04-20,1271.6551513671875,1.0,37.0,179.0,1334880000000
1365897600000,2013-04-14,1267.306884765625,1.0,45.0,178.0,1365897600000
1366156800000,2013-04-17,1269.849365234375,1.0,38.0,179.0,1366156800000
1370908800000,2013-06-11,1271.90380859375,1.0,37.0,179.0,1370908800000
1373846400000,2013-07-15,1272.7060546875,1.0,39.0,178.0,1374192000000
1373846400000,2013-07-15,1273.545166015625,1.0,38.0,178.0,1373846400000
1397606400000,2014-04-16,1268.437744140625,1.0,40.0,179.0,1397606400000
1397865600000,2014-04-19,1275.194580078125,1.0,39.0,178.0,1397865600000
1398470400000,2014-04-26,1268.9776611328125,1.0,41.0,178.0,1398470400000
1398643200000,2014-04-28,1269.7821044921875,1.0,40.0,178.0,1398643200000
1398729600000,2014-04-29,1269.2117919921875,1.0,47.0,178.0,1398729600000
1398816000000,2014-04-30,1273.0361328125,1.0,39.0,178.0,1399075200000
1398816000000,2014-04-30,1272.098388671875,1.0,42.0,178.0,1398816000000
1399075200000,2014-05-03,1273.2073974609375,1.0,41.0,178.0,1399075200000
1399161600000,2014-05-04,1272.473388671875,1.0,36.0,179.0,1399161600000
1399852800000,2014-05-12,1270.646240234375,1.0,45.0,178.0,1399852800000
1400198400000,2014-05-16,1265.9737548828125,1.0,45.0,178.0,1400198400000
1400371200000,2014-05-18,1272.9813232421875,1.0,38.0,178.0,1400371200000
1401062400000,2014-05-26,1267.4825439453125,1.0,39.0,178.0,1401062400000
1401321600000,2014-05-29,1268.9910888671875,1.0,38.0,178.0,1401321600000
1402012800000,2014-06-06,1271.94970703125,1.0,36.0,179.0,1402012800000
1402185600000,2014-06-08,1274.193359375,1.0,42.0,178.0,1402185600000
1402444800000,2014-06-11,1278.9107666015625,1.0,37.0,178.0,1402444800000
1403308800000,2014-06-21,1275.71630859375,1.0,38.0,179.0,1403308800000
1403481600000,2014-06-23,1272.9107666015625,1.0,42.0,178.0,1403481600000
1403568000000,2014-06-24,1272.802978515625,1.0,42.0,178.0,1403568000000
1403654400000,2014-06-25,1254.932373046875,1.0,43.0,179.0,1403913600000
1403654400000,2014-06-25,1273.9345703125,1.0,41.0,178.0,1403654400000
1403740800000,2014-06-26,1269.275634765625,1.0,37.0,178.0,1403740800000
1403913600000,2014-06-28,1274.567626953125,1.0,38.0,178.0,1403913600000
1404086400000,2014-06-30,1271.64306640625,1.0,38.0,179.0,1404086400000
1406505600000,2014-07-28,1269.3206787109375,1.0,47.0,178.0,1407196800000
1406505600000,2014-07-28,1269.2059326171875,1.0,38.0,178.0,1406505600000
1406937600000,2014-08-02,1275.174072265625,1.0,42.0,178.0,1406937600000
1407196800000,2014-08-05,1270.5159912109375,1.0,41.0,178.0,1407196800000
1407628800000,2014-08-10,1268.24462890625,1.0,38.0,178.0,1407628800000
1407974400000,2014-08-14,1268.9619140625,1.0,40.0,178.0,1407974400000
1408924800000,2014-08-25,1271.178466796875,1.0,42.0,178.0,1408924800000
1409011200000,2014-08-26,1270.879638671875,1.0,36.0,178.0,1409011200000
1409875200000,2014-09-05,1269.145263671875,1.0,43.0,178.0,1409875200000
1410220800000,2014-09-09,1269.267822265625,1.0,46.0,179.0,1410998400000
1410220800000,2014-09-09,1270.9564208984375,1.0,46.0,178.0,1410220800000
1410998400000,2014-09-18,1274.05517578125,1.0,35.0,179.0,1410998400000
1411084800000,2014-09-19,1275.3121337890625,1.0,40.0,178.0,1411084800000
1429920000000,2015-04-25,1267.31494140625,1.0,43.0,178.0,1429920000000
1430438400000,2015-05-01,1268.9522705078125,1.0,41.0,178.0,1430438400000
1438387200000,2015-08-01,1264.3250732421875,1.0,42.0,178.0,1438387200000
1459036800000,2016-03-27,1271.7918701171875,1.0,47.0,178.0,1459036800000
1489363200000,2017-03-13,1269.9453125,1.0,45.0,178.0,1489363200000
