time,datetime,longitude,latitude,Blue,Green,Red,NIR,visnirAlbedo
1270564528678,2010-04-06 14:35:28.678,-48.41582513172676,64.69752016180786,0.9318678975105286,0.8923392295837402,0.8836894035339355,0.8263258337974548,0.7250952998638156
1270564552550,2010-04-06 14:35:52.550,-48.41582513172676,64.69752016180786,0.9132959842681885,0.8759139180183411,0.8655993342399597,0.8130491375923157,0.718784055441618
1300977409969,2011-03-24 14:36:49.969,-48.41582513172676,64.69752016180786,0.9927946925163269,0.9724088907241821,0.9791290163993835,0.9313750267028809,0.7568941376388072
1300977433841,2011-03-24 14:37:13.841,-48.41582513172676,64.69752016180786,0.9890075922012329,0.9657016396522522,0.9788956046104431,0.9411911368370056,0.7579936319530012
1316961043824,2011-09-25 14:30:43.824,-48.41582513172676,64.69752016180786,0.9732229709625244,0.9199433326721191,0.8988617062568665,0.8085569739341736,0.7347473067939283
1405349011839,2014-07-14 14:43:31.839,-48.41582513172676,64.69752016180786,0.9928399920463562,0.9109449982643127,0.8345500230789185,0.6459825038909912,0.7118911949455737
1406731416768,2014-07-30 14:43:36.768,-48.41582513172676,64.69752016180786,0.9423224925994873,0.8614450097084045,0.7674224972724915,0.502020001411438,0.6251269787788394
1409496225446,2014-08-31 14:43:45.446,-48.41582513172676,64.69752016180786,0.9434499740600586,0.8843250274658203,0.8289949893951416,0.624779999256134,0.6436127692997455
1467557011776,2016-07-03 14:43:31.776,-48.41582513172676,64.69752016180786,0.9782649874687195,0.9307175278663635,0.9077000021934509,0.7816399931907654,0.7064412527561188
1468939394354,2016-07-19 14:43:14.354,-48.41582513172676,64.69752016180786,0.9784024953842163,0.8323774933815002,0.6531324982643127,0.31177499890327454,0.665090447571874
1468939418237,2016-07-19 14:43:38.237,-48.41582513172676,64.69752016180786,0.9667149782180786,0.8102675080299377,0.6479899883270264,0.31303998827934265,0.6489218216627837
1470321797339,2016-08-04 14:43:17.339,-48.41582513172676,64.69752016180786,0.9647349715232849,0.8687325119972229,0.7984424829483032,0.6238449811935425,0.7024738766849041
1470321821226,2016-08-04 14:43:41.226,-48.41582513172676,64.69752016180786,0.9353924989700317,0.86125248670578,0.7973424792289734,0.6295375227928162,0.6813347819745541
