time,datetime,longitude,latitude,elevation,slope,aspect,hillshade,time_end
1278115200000,2010-07-03,-59.18491858928,79.78212024427127,1324.4696044921875,1.0,265.0,184.0,1278115200000
1335916800000,2012-05-02,-59.18491858928,79.78212024427127,1326.079833984375,1.0,324.0,181.0,1335916800000
1364169600000,2013-03-25,-59.18491858928,79.78212024427127,1333.2625732421875,1.0,309.0,182.0,1364601600000
1364601600000,2013-03-30,-59.18491858928,79.78212024427127,774.831298828125,31.0,89.0,86.0,1364601600000
1364601600000,2013-03-30,-59.18491858928,79.78212024427127,1327.62060546875,1.0,311.0,182.0,1364601600000
1370044800000,2013-06-01,-59.18491858928,79.78212024427127,1319.746826171875,0.0,292.0,181.0,1370044800000
1378425600000,2013-09-06,-59.18491858928,79.78212024427127,1325.723876953125,1.0,304.0,182.0,1378425600000
1378598400000,2013-09-08,-59.18491858928,79.78212024427127,1326.0888671875,0.0,113.0,179.0,1378598400000
1398988800000,2014-05-02,-59.18491858928,79.78212024427127,1315.25537109375,1.0,355.0,181.0,1398902400000
1398988800000,2014-05-02,-59.18491858928,79.78212024427127,1321.868896484375,1.0,319.0,182.0,1398988800000
1426464000000,2015-03-16,-59.18491858928,79.78212024427127,1331.0272216796875,0.0,251.0,182.0,1426464000000
1426809600000,2015-03-20,-59.18491858928,79.78212024427127,1327.700439453125,1.0,346.0,181.0,1427500800000
1427500800000,2015-03-28,-59.18491858928,79.78212024427127,1321.119140625,1.0,358.0,180.0,1427500800000
1458864000000,2016-03-25,-59.18491858928,79.78212024427127,1328.87548828125,1.0,309.0,182.0,1458864000000
1461456000000,2016-04-24,-59.18491858928,79.78212024427127,1323.025146484375,1.0,345.0,181.0,1461456000000
1463270400000,2016-05-15,-59.18491858928,79.78212024427127,1322.26220703125,1.0,335.0,181.0,1463270400000
1463961600000,2016-05-23,-59.18491858928,79.78212024427127,1320.922119140625,1.0,315.0,182.0,1463961600000
1464134400000,2016-05-25,-59.18491858928,79.78212024427127,1322.627685546875,1.0,336.0,181.0,1464134400000
1464566400000,2016-05-30,-59.18491858928,79.78212024427127,1315.2626953125,1.0,310.0,182.0,1464566400000
1464825600000,2016-06-02,-59.18491858928,79.78212024427127,1325.6727294921875,0.0,308.0,181.0,1464825600000
1465603200000,2016-06-11,-59.18491858928,79.78212024427127,1326.26220703125,1.0,352.0,181.0,1465603200000
1465603200000,2016-06-11,-59.18491858928,79.78212024427127,1324.615966796875,1.0,33.0,179.0,1465603200000
1466208000000,2016-06-18,-59.18491858928,79.78212024427127,1323.201171875,1.0,336.0,181.0,1466208000000
1466899200000,2016-06-26,-59.18491858928,79.78212024427127,1322.005126953125,1.0,337.0,181.0,1466899200000
1468368000000,2016-07-13,-59.18491858928,79.78212024427127,1321.8260498046875,0.0,22.0,180.0,1468368000000
1468454400000,2016-07-14,-59.18491858928,79.78212024427127,1326.1134033203125,1.0,352.0,181.0,1468454400000
1468540800000,2016-07-15,-59.18491858928,79.78212024427127,1323.1343994140625,0.0,305.0,181.0,1468540800000
1468713600000,2016-07-17,-59.18491858928,79.78212024427127,1324.0574951171875,0.0,357.0,180.0,1468713600000
1471305600000,2016-08-16,-59.18491858928,79.78212024427127,1324.7493896484375,1.0,342.0,181.0,1471305600000
1471910400000,2016-08-23,-59.18491858928,79.78212024427127,1321.6065673828125,1.0,336.0,181.0,1471910400000
1473552000000,2016-09-11,-59.18491858928,79.78212024427127,1327.935546875,1.0,293.0,182.0,1473552000000
1473724800000,2016-09-13,-59.18491858928,79.78212024427127,1328.0916748046875,1.0,336.0,181.0,1473724800000
1474588800000,2016-09-23,-59.18491858928,79.78212024427127,1324.208984375,0.0,292.0,182.0,1474588800000
1475020800000,2016-09-28,-59.18491858928,79.78212024427127,1325.00537109375,0.0,328.0,181.0,1475020800000
1489795200000,2017-03-18,-59.18491858928,79.78212024427127,1320.8367919921875,1.0,312.0,182.0,1489795200000
1493424000000,2017-04-29,-59.18491858928,79.78212024427127,1324.401123046875,0.0,307.0,181.0,1493424000000
1494547200000,2017-05-12,-59.18491858928,79.78212024427127,1326.309814453125,0.0,324.0,181.0,1494547200000
1494720000000,2017-05-14,-59.18491858928,79.78212024427127,1326.584716796875,1.0,321.0,182.0,1494720000000
1496880000000,2017-06-08,-59.18491858928,79.78212024427127,1324.73193359375,1.0,330.0,181.0,1496880000000
1497225600000,2017-06-12,-59.18491858928,79.78212024427127,1322.3699951171875,0.0,358.0,180.0,1497225600000
1497744000000,2017-06-18,-59.18491858928,79.78212024427127,1321.8853759765625,1.0,328.0,181.0,1497744000000
1499558400000,2017-07-09,-59.18491858928,79.78212024427127,1316.0455322265625,1.0,327.0,181.0,1499558400000
1502928000000,2017-08-17,-59.18491858928,79.78212024427127,1325.2545166015625,1.0,312.0,182.0,1502928000000
