time,datetime,elevation
1334620800000,2012-04-17,403.30706787109375
1339977600000,2012-06-18,407.6963195800781
1342396800000,2012-07-16,398.7670593261719
1366243200000,2013-04-18,398.97772216796875
1366243200000,2013-04-18,407.7446594238281
1366329600000,2013-04-19,399.66973876953125
1366761600000,2013-04-24,402.61004638671875
1366761600000,2013-04-24,400.9667053222656
1369440000000,2013-05-25,404.12615966796875
1373673600000,2013-07-13,400.6380920410156
1373846400000,2013-07-15,403.2602233886719
1398211200000,2014-04-23,403.6231689453125
1426204800000,2015-03-13,409.9693603515625
1429228800000,2015-04-17,399.563232421875
1430784000000,2015-05-05,398.3753662109375
1433980800000,2015-06-11,399.3289794921875
1458604800000,2016-03-22,405.05255126953125
1461196800000,2016-04-21,399.0478515625
1489708800000,2017-03-17,405.9208679199219
1490227200000,2017-03-23,406.43585205078125
