time,datetime,elevation
1344816000000,2012-08-13,327.78057861328125
1349913600000,2012-10-11,325.6479797363281
1366070400000,2013-04-16,319.6869201660156
1374969600000,2013-07-28,321.1897277832031
1400025600000,2014-05-14,319.3601989746094
1409356800000,2014-08-30,318.43353271484375
1412380800000,2014-10-04,314.5333251953125
1426550400000,2015-03-17,314.61102294921875
1435795200000,2015-07-02,315.77978515625
1445040000000,2015-10-17,252.04391479492188
1445040000000,2015-10-17,256.2351379394531
1469750400000,2016-07-29,306.72894287109375
1471478400000,2016-08-18,304.84197998046875
1473292800000,2016-09-08,306.0792236328125
1493251200000,2017-04-27,307.3883972167969
