time_x,datetime,Blue,Green,Red,NIR,visnirAlbedo,time_y,elevation,slope,aspect,hillshade,time_end
1408991509895,2014-08-25 18:31:49.895,0.9832975268363952,0.8019350171089172,0.729170024394989,0.5360375046730042,0.7095466591954234,1409011200000.0,1270.81982421875,3.0,22.0,176.0,1409011200000.0
1409068710926,2014-08-26 15:58:30.926,0.9516724944114684,0.9027774930000304,0.8853700160980225,0.7844175100326538,0.7071877951800825,1409011200000.0,1270.81982421875,3.0,22.0,176.0,1409011200000.0
1429893661706,2015-04-24 16:41:01.706,0.9118250012397766,0.8656799793243408,0.8532775044441223,0.7793024778366089,0.7011673905313016,1429920000000.0,1266.839111328125,4.0,104.0,167.0,1429920000000.0
1277921219830,2010-06-30 18:06:59.830,0.7770515084266663,0.7541996836662292,0.7228338718414307,0.5644848942756653,0.5517371291637423,1278028800000.0,569.30224609375,2.0,238.0,186.0,1278028800000.0
1278093278513,2010-07-02 17:54:38.513,0.6779508590698242,0.6650081872940063,0.624068021774292,0.4616984128952026,0.4917090536236763,1278028800000.0,569.30224609375,2.0,238.0,186.0,1278028800000.0
1341683827385,2012-07-07 17:57:07.385,0.6510473489761353,0.6268513798713684,0.6173571944236755,0.4790679514408111,0.4685963363319636,1341878400000.0,563.6102905273438,3.0,250.0,190.0,1341878400000.0
1341855887583,2012-07-09 17:44:47.583,0.6600454449653625,0.6189219355583191,0.5963202118873596,0.4221344292163849,0.4556163209170102,1341878400000.0,563.6102905273438,3.0,250.0,190.0,1341878400000.0
1341944860326,2012-07-10 18:27:40.326,0.7074295878410339,0.701137900352478,0.6615902781486511,0.5113779902458191,0.5198376398921014,1341878400000.0,563.6102905273438,3.0,250.0,190.0,1341878400000.0
1366033250739,2013-04-15 13:40:50.739,0.8528842926025391,0.8397544026374817,0.7998040914535522,0.6080418229103088,0.5770140648543836,1365897600000.0,819.1683349609375,6.0,32.0,171.0,1365897600000.0
1366122221976,2013-04-16 14:23:41.976,0.9979451298713684,0.979116141796112,0.9889034628868104,0.9426552653312684,0.7585914667248725,1366329600000.0,2219.533203125,7.0,172.0,177.0,1366329600000.0
1399214014055,2014-05-04 14:33:34.055,0.9583550095558168,0.9373999834060668,0.9320099949836732,0.8456875085830688,0.7106052311599256,1398988800000.0,2221.780517578125,4.0,234.0,190.0,1398988800000.0
1278686798751,2010-07-09 14:46:38.751,0.8897857069969177,0.8605915904045105,0.8438037633895874,0.6935253143310547,0.6192557311594489,1278806400000.0,1106.0079345703125,4.0,278.0,193.0,1278806400000.0
1469977608475,2016-07-31 15:06:48.475,0.6196100115776062,0.6068775057792664,0.6018999814987183,0.4707799851894378,0.4493542064338924,1470182400000.0,1088.654052734375,4.0,269.0,194.0,1470182400000.0
1470149667106,2016-08-02 14:54:27.106,0.1869249939918518,0.1137199997901916,0.0902900025248527,0.0371600016951561,0.2649218506716192,1470182400000.0,1088.654052734375,4.0,269.0,194.0,1470182400000.0
1398187514306,2014-04-22 17:25:14.306,0.9444400072097778,0.8972225189208984,0.8865799903869629,0.8027049899101257,0.7116939662277699,1398211200000.0,712.9859619140625,4.0,165.0,177.0,1398211200000.0
