time,datetime,Blue,Green,Red,NIR,visnirAlbedo
1250516520205,2009-08-17 13:42:00.205,0.6800715923309326,0.6542169451713562,0.6174446940422058,0.41092073917388916,0.4503266008138658
1251121691163,2009-08-24 13:48:11.163,0.6983708739280701,0.6864714026451111,0.6476142406463623,0.4126177728176117,0.43644943899214284
1251812855167,2009-09-01 13:47:35.167,0.8139529228210449,0.8295891880989075,0.7743613123893738,0.6322660446166992,0.6080898011326792
1251898920201,2009-09-02 13:42:00.201,0.776748538017273,0.7487444877624512,0.7094413638114929,0.5399612188339233,0.5492766382455827
1251984915252,2009-09-03 13:35:15.252,0.7747186422348022,0.7792997360229492,0.7092663049697876,0.5221923589706421,0.5565241641283036
1252070978490,2009-09-04 13:29:38.490,0.8025007843971252,0.7805517315864563,0.7298072576522827,0.5162028670310974,0.5354419026255609
1252504090620,2009-09-09 13:48:10.620,0.7858981490135193,0.7483867406845093,0.6816352009773254,0.4137491285800934,0.4916211483091117
1252590091901,2009-09-10 13:41:31.901,0.7617819309234619,0.7536631226539612,0.6618820428848267,0.40799254179000854,0.5085833621561529
1252676148846,2009-09-11 13:35:48.846,0.747663676738739,0.7283544540405273,0.6677467226982117,0.3976440131664276,0.45713105188906206
1269265069434,2010-03-22 13:37:49.434,0.9509548544883728,0.9427181482315063,0.9549117088317871,0.8970019221305847,0.7141226503968241
1269870241745,2010-03-29 13:44:01.745,0.9506821632385254,0.9388726353645325,0.9579461216926575,0.9009283781051636,0.7088189557075502
1270042300456,2010-03-31 13:31:40.456,0.9452287554740906,0.9234012961387634,0.9380762577056885,0.8936079144477844,0.721973623716831
1270475413512,2010-04-05 13:50:13.512,0.9636794924736023,0.9502004384994507,0.9651821851730347,0.9095133543014526,0.72242158780694
1271424701214,2010-04-16 13:31:41.214,0.9590440988540649,0.955536425113678,0.9741396307945251,0.9162681698799133,0.7129302609026431
1271857813278,2010-04-21 13:50:13.278,0.9192947745323181,0.9032795429229736,0.920248806476593,0.8513486385345459,0.6800859494149687
1272635041177,2010-04-30 13:44:01.177,0.961195170879364,0.9597694873809814,0.9769698977470398,0.9174661040306091,0.7138853107810021
1275571896382,2010-06-03 13:31:36.382,0.9238695502281189,0.8892986178398132,0.8245466351509094,0.6068439483642578,0.624517268806696
1276005009018,2010-06-08 13:50:09.018,0.7515416145324707,0.7461212277412415,0.7217543125152588,0.5368666052818298,0.5025282569468024
1279719101865,2010-07-21 13:31:41.865,0.5945438742637634,0.5844317674636841,0.5769755244255066,0.43022024631500244,0.4208421078264716
1280152214294,2010-07-26 13:50:14.294,0.5385555028915405,0.5257955193519592,0.5169282555580139,0.3682289123535156,0.38447801303863527
1280324272594,2010-07-28 13:37:52.594,0.5798802375793457,0.5738492012023926,0.5618907809257507,0.4064618945121765,0.4071218279540539
1281101500969,2010-08-06 13:31:40.969,0.5170751214027405,0.5008743405342102,0.4890928864479065,0.347032755613327,0.37974733819067497
1281706671980,2010-08-13 13:37:51.980,0.5654590129852295,0.5557843446731567,0.5498113036155701,0.42346543073654175,0.41928699910044664
1282311844440,2010-08-20 13:44:04.440,0.5238918662071228,0.521979808807373,0.5110927224159241,0.3661991357803345,0.3791065525352955
1282483903230,2010-08-22 13:31:43.230,0.40019023418426514,0.367713063955307,0.3443433344364166,0.2132672518491745,0.3267921322926879
1283089075210,2010-08-29 13:37:55.210,0.6795868873596191,0.6783928871154785,0.6613276600837708,0.5275828838348389,0.4955645126104356
1285076647005,2010-09-21 13:44:07.005,0.9912495017051697,0.9799806475639343,0.9961394667625427,0.927016019821167,0.7265998559296134
1300455182052,2011-03-18 13:33:02.052,0.8592768907546997,0.8179036974906921,0.8259471654891968,0.7672960162162781,0.6617958622157571
1300888294430,2011-03-23 13:51:34.430,0.9010561108589172,0.8874205946922302,0.8972569704055786,0.8392032980918884,0.6845284407019614
1301837585677,2011-04-03 13:33:05.677,0.8474611639976501,0.8044593930244446,0.7983452081680298,0.7433379888534546,0.6707453004539012
1302270698338,2011-04-08 13:51:38.338,0.9599832892417908,0.9584578275680542,0.9680415391921997,0.9268163442611694,0.7368600883781911
1302442756530,2011-04-10 13:39:16.530,0.9698600172996521,0.9578914642333984,0.9773491621017456,0.9426552653312683,0.7412941575884819
1308577523922,2011-06-20 13:45:23.922,0.6338993906974792,0.625629186630249,0.615314781665802,0.4625968337059021,0.4432568602442742
1309354750373,2011-06-29 13:39:10.373,0.666104793548584,0.6653360724449158,0.663195013999939,0.5656495094299316,0.5061288967490196
1309959921611,2011-07-06 13:45:21.611,0.4480288028717041,0.42065560817718506,0.39654186367988586,0.24986974895000458,0.3435568483158945
1310565092230,2011-07-13 13:51:32.230,0.5275274515151978,0.5139310956001282,0.48672953248023987,0.3019784092903137,0.36139994962811484
1310737150438,2011-07-15 13:39:10.438,0.5171962976455688,0.5020667314529419,0.4768383502960205,0.3089328706264496,0.3684807277888061
1311342320195,2011-07-22 13:45:20.195,0.5416457653045654,0.5337547659873962,0.5234931707382202,0.379043310880661,0.3910932674497367
1311947489283,2011-07-29 13:51:29.283,0.3718324899673462,0.3388271629810333,0.32059285044670105,0.18341957032680511,0.2982055585548282
1312724715343,2011-08-07 13:45:15.343,0.5251643061637878,0.5164351463317871,0.497641921043396,0.342141330242157,0.3783049406170846
1312896772846,2011-08-09 13:32:52.846,0.5574303865432739,0.5590336322784424,0.5354851484298706,0.38143908977508545,0.4037025563240052
1314279171400,2011-08-25 13:32:51.400,0.7602670788764954,0.7383407950401306,0.699521005153656,0.5190977454185486,0.5274759057879449
