time,datetime,Blue,Green,Red,NIR,visnirAlbedo
1251210830114,2009-08-25 14:33:50.114,0.4696606695652008,0.4801265597343445,0.4862043261528015,0.36506780982017517,0.3487047683715821
1270564552550,2010-04-06 14:35:52.550,0.7869585156440735,0.7876763343811035,0.8015255928039551,0.7680280208587646,0.6278903014004229
1271946952119,2010-04-22 14:35:52.119,0.8914823532104492,0.8869138360023499,0.8881535530090332,0.8293206095695496,0.6845283513844014
1278858952799,2010-07-11 14:35:52.799,0.3901014029979706,0.39895394444465637,0.408329576253891,0.290764719247818,0.2976837644636631
1279464124008,2010-07-18 14:42:04.008,0.3897378444671631,0.3985067903995514,0.40371954441070557,0.2675054967403412,0.28424636611044407
1282228924832,2010-08-19 14:42:04.832,0.4427874684333801,0.45183688402175903,0.43091297149658203,0.24913769960403442,0.300966658782959
1283611327322,2010-09-04 14:42:07.322,0.5571576952934265,0.5526841282844543,0.49449074268341064,0.26574191451072693,0.367884679117799
1284388556989,2010-09-13 14:35:56.989,0.6490477323532104,0.6484934687614441,0.6550837159156799,0.6116355657577515,0.536490905201435
1286376127329,2010-10-06 14:42:07.329,0.633232831954956,0.5928679704666138,0.5962326526641846,0.5363674759864807,0.5187746910631656
1300977433841,2011-03-24 14:37:13.841,0.804197371006012,0.7790910601615906,0.7894460558891296,0.7491943836212158,0.6390289598405361
1310654231089,2011-07-14 14:37:11.089,0.6429581046104431,0.6583307385444641,0.6255269050598145,0.4268927574157715,0.42518439195752167
1312036627935,2011-07-30 14:37:07.935,0.8078935742378235,0.5055544972419739,0.45206665992736816,0.22384870052337646,0.5600885938227176
1314024194108,2011-08-22 14:43:14.108,0.5517648458480835,0.5628493428230286,0.5644875764846802,0.43497857451438904,0.3981478194564581
1333377836545,2012-04-02 14:43:56.545,0.7707498073577881,0.769849956035614,0.7672128081321716,0.6508334875106812,0.5570208110332491
1341067093975,2012-06-30 14:38:13.975,0.6089954376220703,0.6352876424789429,0.6208584904670715,0.4451940059661865,0.40602908945083627
1342449507827,2012-07-16 14:38:27.827,0.49532201886177063,0.5027523636817932,0.46706387400627136,0.2641447186470032,0.3294028278917075
1343054682766,2012-07-23 14:44:42.766,0.5042292475700378,0.5221884846687317,0.5075039267539978,0.33715006709098816,0.3443513474255801
1347201914381,2012-09-09 14:45:14.381,0.5333444476127625,0.5491963624954224,0.5539836883544922,0.4395039677619934,0.39653426246643064
1347979146906,2012-09-18 14:39:06.906,0.6831921935081482,0.695950984954834,0.713001012802124,0.680048942565918,0.5569861068427562
1349966731061,2012-10-11 14:45:31.061,0.6629539728164673,0.6134368777275085,0.5927605628967285,0.534470796585083,0.5626636635065079
1350743967447,2012-10-20 14:39:27.447,0.6402313709259033,0.5872339010238647,0.5597316026687622,0.4432973265647888,0.501500795596838
1362408359334,2013-03-04 14:45:59.334,0.6680135130882263,0.6039572954177856,0.5931690335273743,0.5261520743370056,0.5504843846678734
1363790756069,2013-03-20 14:45:56.069,0.7319396734237671,0.7226011157035828,0.7158604264259338,0.6080418229103088,0.5445135516941548
1364567982274,2013-03-29 14:39:42.274,0.7520566582679749,0.7489531636238098,0.7567381262779236,0.6624464988708496,0.5557675403535367
1364568421376,2013-03-29 14:47:01.376,0.9644874930381775,0.9110825061798096,0.8899350166320801,0.7228999733924866,0.6590059250593185
1365000166178,2013-04-03 14:42:46.178,0.9649274945259094,0.9152349829673767,0.8943074941635132,0.7412149906158447,0.67141411845088
1365950379596,2013-04-14 14:39:39.596,0.7550257444381714,0.7750965356826782,0.780342698097229,0.7101960778236389,0.579466747158766
1367247096822,2013-04-29 14:51:36.822,0.8247324824333191,0.819397509098053,0.8401874899864197,0.7887899875640869,0.6302215497791768
1375627134982,2013-08-04 14:38:54.982,0.4812946319580078,0.4868636429309845,0.4581063985824585,0.27186453342437744,0.3294010525166989
1377009540612,2013-08-20 14:39:00.612,0.5051078796386719,0.5223673582077026,0.5265567898750305,0.41860726475715637,0.3846453218013049
1379774361956,2013-09-21 14:39:21.956,0.8267987966537476,0.8432719707489014,0.8543660044670105,0.7926515340805054,0.6285843672990803
1381156774543,2013-10-07 14:39:34.543,0.7080960869789124,0.6938642859458923,0.6856617331504822,0.6277739405632019,0.5766705492854118
1399819395374,2014-05-11 14:43:15.374,0.9764224886894226,0.9295349717140198,0.9078925251960754,0.802869975566864,0.7231443831205369
1401201792578,2014-05-27 14:43:12.578,0.9715549945831299,0.9386374950408936,0.9292324781417847,0.815547525882721,0.6991859174549582
1402584201588,2014-06-12 14:43:21.588,0.9076725244522095,0.8684849739074707,0.8495650291442871,0.6322050094604492,0.572580082333088
1405349011839,2014-07-14 14:43:31.839,0.7048875093460083,0.7292525172233582,0.7348074913024902,0.5778099894523621,0.46685722662806545
1406731416768,2014-07-30 14:43:36.768,0.403157502412796,0.4098674952983856,0.3832474946975708,0.22883500158786774,0.3058980969771743
1408718995268,2014-08-22 14:49:55.268,0.3870150148868561,0.383109986782074,0.33072251081466675,0.16778500378131866,0.3126645982131362
1410878627864,2014-09-16 14:43:47.864,0.8517100214958191,0.8267124891281128,0.8416450023651123,0.7651674747467041,0.6323746743619443
1424702608153,2015-02-23 14:43:28.153,0.8091124892234802,0.6340199708938599,0.5572674870491028,0.41971251368522644,0.6507445640712977
1426690165676,2015-03-18 14:49:25.676,0.8646349906921387,0.8248975276947021,0.8341925144195557,0.7625824809074402,0.6520665246188642
1429454953166,2015-04-19 14:49:13.166,0.9549450278282166,0.8964250087738037,0.899477481842041,0.811394989490509,0.7032844230175019
