time,datetime,elevation,slope,aspect,hillshade,time_end
1335830400000,2012-05-01,2489.986328125,0.0,105.0,180.0,1335830400000
1335830400000,2012-05-01,2488.94970703125,0.0,111.0,180.0,1335830400000
1398470400000,2014-04-26,2493.765869140625,0.0,88.0,180.0,1398470400000
1407283200000,2014-08-06,2489.03759765625,0.0,102.0,180.0,1407283200000
1462492800000,2016-05-06,2485.214111328125,0.0,90.0,180.0,1462492800000
1463875200000,2016-05-22,2486.4140625,0.0,93.0,180.0,1463875200000
1493164800000,2017-04-26,2493.136962890625,0.0,93.0,180.0,1493164800000
