time,datetime,elevation,slope,aspect,hillshade,time_end
1346803200000,2012-09-05,992.1583862304688,8.0,180.0,180.0,1346803200000
1363996800000,2013-03-23,1003.114990234375,8.0,181.0,181.0,1363996800000
1369094400000,2013-05-21,991.7979125976562,8.0,179.0,180.0,1369094400000
1374624000000,2013-07-24,992.9075927734375,8.0,182.0,181.0,1374624000000
1404345600000,2014-07-03,992.0380249023438,8.0,183.0,182.0,1404345600000
1404691200000,2014-07-07,992.5325927734375,8.0,181.0,181.0,1404691200000
1428883200000,2015-04-13,993.1998291015625,8.0,180.0,180.0,1428883200000
1459987200000,2016-04-07,987.82568359375,8.0,179.0,180.0,1459987200000
1489795200000,2017-03-18,992.9574584960938,8.0,178.0,179.0,1489795200000
