time,datetime,elevation,slope,aspect,hillshade,time_end
1335571200000,2012-04-28,1701.8004150390625,1.0,131.0,179.0,1335571200000
1342828800000,2012-07-21,1703.245361328125,1.0,135.0,179.0,1342828800000
1364774400000,2013-04-01,1700.9993896484375,1.0,147.0,179.0,1364774400000
1365120000000,2013-04-05,1696.3662109375,1.0,116.0,179.0,1365033600000
1365120000000,2013-04-05,1704.1192626953125,1.0,129.0,179.0,1365120000000
1376524800000,2013-08-15,1703.929443359375,1.0,131.0,179.0,1376524800000
1397520000000,2014-04-15,1698.67626953125,1.0,133.0,179.0,1397520000000
1397692800000,2014-04-17,1700.735595703125,1.0,132.0,179.0,1397692800000
1398038400000,2014-04-21,1703.52880859375,1.0,131.0,179.0,1398038400000
1426464000000,2015-03-16,1705.7822265625,1.0,130.0,179.0,1426464000000
1427932800000,2015-04-02,1708.559814453125,1.0,130.0,179.0,1427932800000
1434067200000,2015-06-12,1685.3199462890625,1.0,119.0,178.0,1434844800000
1459123200000,2016-03-28,1706.8526611328125,1.0,134.0,179.0,1459123200000
1459900800000,2016-04-06,1702.782958984375,1.0,130.0,179.0,1459900800000
1491091200000,2017-04-02,1702.7088623046875,1.0,129.0,179.0,1491091200000
