time,datetime,elevation,slope,aspect,hillshade,time_end
1338768000000,2012-06-04,3011.291015625,0.0,312.0,181.0,1338768000000
1370304000000,2013-06-04,3005.407958984375,0.0,313.0,181.0,1370304000000
1432598400000,2015-05-26,3003.60986328125,0.0,320.0,181.0,1432598400000
1436227200000,2015-07-07,2993.388427734375,0.0,310.0,181.0,1436313600000
1436227200000,2015-07-07,3002.18212890625,0.0,310.0,181.0,1436313600000
1436227200000,2015-07-07,3003.778564453125,0.0,305.0,181.0,1436227200000
1436313600000,2015-07-08,3007.8671875,0.0,308.0,181.0,1436313600000
1460678400000,2016-04-15,3007.12060546875,0.0,315.0,181.0,1460678400000
1462579200000,2016-05-07,3007.541015625,0.0,314.0,181.0,1462579200000
1468454400000,2016-07-14,3007.80126953125,0.0,314.0,181.0,1468454400000
1491350400000,2017-04-05,3008.2451171875,0.0,299.0,181.0,1491350400000
1494028800000,2017-05-06,3008.440673828125,0.0,320.0,181.0,1494028800000
1506643200000,2017-09-29,3009.73583984375,0.0,312.0,181.0,1506643200000
