time,datetime,elevation,slope,aspect,hillshade,time_end
1337731200000,2012-05-23,2062.208984375,3.0,150.0,176.0,1337731200000
1340323200000,2012-06-22,2060.646240234375,2.0,138.0,176.0,1340323200000
1373241600000,2013-07-08,2062.34326171875,2.0,130.0,175.0,1373241600000
1398556800000,2014-04-27,2063.47265625,3.0,140.0,175.0,1398556800000
1398902400000,2014-05-01,2063.149169921875,2.0,132.0,175.0,1398902400000
1424822400000,2015-02-25,2065.0361328125,2.0,141.0,176.0,1424822400000
1458950400000,2016-03-26,2063.10107421875,2.0,141.0,176.0,1458950400000
1490918400000,2017-03-31,2064.853759765625,2.0,141.0,176.0,1490918400000
