time,datetime,elevation,slope,aspect,hillshade,time_end
1308355200000,2011-06-18,131.8085479736328,64.0,238.0,255.0,1308355200000
1334102400000,2012-04-11,1427.4630126953125,1.0,182.0,180.0,1333756800000
1334102400000,2012-04-11,1428.0115966796875,1.0,198.0,181.0,1334102400000
1336780800000,2012-05-12,1427.7587890625,1.0,186.0,181.0,1336780800000
1344038400000,2012-08-04,1427.7388916015625,1.0,197.0,181.0,1344038400000
1364256000000,2013-03-26,1429.8062744140625,1.0,205.0,182.0,1364256000000
1402617600000,2014-06-13,1429.157958984375,1.0,181.0,180.0,1402617600000
1429488000000,2015-04-20,1430.8709716796875,1.0,199.0,182.0,1429488000000
1433116800000,2015-06-01,1418.936279296875,2.0,200.0,182.0,1433721600000
1460937600000,2016-04-18,1426.3668212890625,1.0,203.0,181.0,1460937600000
1489276800000,2017-03-12,1431.058349609375,1.0,189.0,181.0,1489276800000
