time,datetime,elevation,slope,aspect,hillshade,time_end
1366848000000,2013-04-25,2375.3876953125,0.0,268.0,181.0,1366848000000
1367884800000,2013-05-07,2375.767578125,0.0,354.0,180.0,1367884800000
1368230400000,2013-05-11,2377.40234375,1.0,256.0,182.0,1368230400000
1376956800000,2013-08-20,2373.53466796875,1.0,281.0,182.0,1376956800000
1377475200000,2013-08-26,2398.95458984375,0.0,70.0,180.0,1376956800000
1401235200000,2014-05-28,2373.15966796875,1.0,322.0,181.0,1401235200000
1430092800000,2015-04-27,2372.0654296875,0.0,278.0,181.0,1430092800000
1430092800000,2015-04-27,2376.5810546875,0.0,0.0,180.0,1430092800000
1463529600000,2016-05-18,2373.51171875,0.0,333.0,181.0,1463529600000
1492300800000,2017-04-16,2375.9775390625,0.0,10.0,180.0,1492300800000
