time,datetime,elevation,slope,aspect,hillshade,time_end
1334188800000,2012-04-12,1809.1453857421875,0.0,168.0,180.0,1334188800000
1396310400000,2014-04-01,1800.933349609375,1.0,53.0,178.0,1396310400000
1427241600000,2015-03-25,1800.0667724609375,0.0,71.0,179.0,1427241600000
1430784000000,2015-05-05,1801.1590576171875,1.0,105.0,178.0,1430784000000
1433462400000,2015-06-05,1802.89990234375,0.0,58.0,180.0,1433462400000
1459814400000,2016-04-05,1795.7939453125,0.0,208.0,180.0,1459814400000
1490486400000,2017-03-26,1803.0784912109375,0.0,306.0,181.0,1490486400000
1492473600000,2017-04-18,1787.3453369140625,0.0,38.0,180.0,1492473600000
