time,datetime,elevation,slope,aspect,hillshade,time_end
1334448000000,2012-04-15,2722.135009765625,0.0,76.0,180.0,1334448000000
1342828800000,2012-07-21,2725.40185546875,1.0,124.0,178.0,1342828800000
1343692800000,2012-07-31,2728.095703125,1.0,115.0,179.0,1343692800000
1397520000000,2014-04-15,2729.51025390625,0.0,165.0,180.0,1397520000000
1397865600000,2014-04-19,2727.866943359375,0.0,52.0,180.0,1397865600000
1398211200000,2014-04-23,2717.2880859375,3.0,156.0,177.0,1397520000000
1398211200000,2014-04-23,2726.20556640625,1.0,103.0,178.0,1398211200000
1398384000000,2014-04-25,2732.17822265625,0.0,220.0,181.0,1398384000000
1401062400000,2014-05-26,2725.229248046875,0.0,248.0,181.0,1401321600000
1401062400000,2014-05-26,2724.2197265625,0.0,108.0,179.0,1401062400000
1401321600000,2014-05-29,2724.26318359375,0.0,145.0,180.0,1401321600000
1411862400000,2014-09-28,2724.99462890625,0.0,174.0,180.0,1411862400000
1412208000000,2014-10-02,2731.1611328125,4.0,302.0,191.0,1411862400000
1412208000000,2014-10-02,2728.33837890625,0.0,41.0,180.0,1412208000000
1412467200000,2014-10-05,2727.4853515625,0.0,93.0,180.0,1412467200000
1432425600000,2015-05-24,2724.57861328125,0.0,138.0,180.0,1432425600000
1462665600000,2016-05-08,2725.036865234375,0.0,103.0,179.0,1462665600000
1492992000000,2017-04-24,2730.3828125,0.0,102.0,179.0,1492992000000
1494892800000,2017-05-16,2724.76513671875,1.0,96.0,179.0,1494892800000
1494979200000,2017-05-17,2725.91943359375,0.0,114.0,179.0,1494979200000
