time,datetime,longitude,latitude,elevation,slope,aspect,hillshade,time_end
1349913600000,2012-10-11,-46.634879148348446,62.0176660062225,2137.5048828125,7.0,249.0,200.0,1349913600000
1367020800000,2013-04-27,-46.634879148348446,62.0176660062225,2137.45361328125,5.0,301.0,194.0,1367020800000
1394409600000,2014-03-10,-46.634879148348446,62.0176660062225,2139.8232421875,8.0,290.0,203.0,1394409600000
1424822400000,2015-02-25,-46.634879148348446,62.0176660062225,2134.70458984375,2.0,234.0,186.0,1424822400000
1426550400000,2015-03-17,-46.634879148348446,62.0176660062225,2138.077880859375,5.0,109.0,167.0,1426550400000
1449187200000,2015-12-04,-46.634879148348446,62.0176660062225,2133.897705078125,1.0,290.0,182.0,1449187200000
1452470400000,2016-01-11,-46.634879148348446,62.0176660062225,2137.28955078125,5.0,242.0,194.0,1452470400000
1469750400000,2016-07-29,-46.634879148348446,62.0176660062225,2135.85888671875,5.0,259.0,197.0,1469750400000
1471996800000,2016-08-24,-46.634879148348446,62.0176660062225,2134.41455078125,5.0,273.0,194.0,1471996800000
1472601600000,2016-08-31,-46.634879148348446,62.0176660062225,2134.281005859375,4.0,275.0,192.0,1472601600000
1474502400000,2016-09-22,-46.634879148348446,62.0176660062225,2135.414306640625,4.0,334.0,186.0,1474675200000
1474502400000,2016-09-22,-46.634879148348446,62.0176660062225,2133.272216796875,7.0,324.0,193.0,1474502400000
1474675200000,2016-09-24,-46.634879148348446,62.0176660062225,2139.238525390625,7.0,173.0,178.0,1475366400000
1474675200000,2016-09-24,-46.634879148348446,62.0176660062225,2138.43408203125,1.0,36.0,178.0,1474675200000
1475107200000,2016-09-29,-46.634879148348446,62.0176660062225,2138.741943359375,2.0,276.0,186.0,1475107200000
1475366400000,2016-10-02,-46.634879148348446,62.0176660062225,2135.930908203125,3.0,263.0,189.0,1475366400000
1475712000000,2016-10-06,-46.634879148348446,62.0176660062225,2141.36572265625,4.0,345.0,183.0,1475712000000
1476576000000,2016-10-16,-46.634879148348446,62.0176660062225,2138.008544921875,3.0,252.0,188.0,1476576000000
1476835200000,2016-10-19,-46.634879148348446,62.0176660062225,2135.428955078125,3.0,244.0,189.0,1476835200000
1477180800000,2016-10-23,-46.634879148348446,62.0176660062225,2141.40673828125,2.0,22.0,177.0,1477180800000
1477440000000,2016-10-26,-46.634879148348446,62.0176660062225,2134.8017578125,13.0,92.0,139.0,1477440000000
1485129600000,2017-01-23,-46.634879148348446,62.0176660062225,2136.12890625,4.0,285.0,192.0,1485129600000
1487721600000,2017-02-22,-46.634879148348446,62.0176660062225,2137.80615234375,4.0,242.0,192.0,1487721600000
1489536000000,2017-03-15,-46.634879148348446,62.0176660062225,2137.888427734375,5.0,202.0,186.0,1489536000000
1494806400000,2017-05-15,-46.634879148348446,62.0176660062225,2137.336181640625,5.0,339.0,186.0,1494806400000
1496102400000,2017-05-30,-46.634879148348446,62.0176660062225,2136.970703125,1.0,263.0,184.0,1496102400000
1496275200000,2017-06-01,-46.634879148348446,62.0176660062225,2132.569580078125,2.0,123.0,174.0,1496275200000
