time,datetime,longitude,latitude,elevation,slope,aspect,hillshade,time_end
1338163200000,2012-05-28,-26.691345592999586,76.39669333192708,1894.2884521484375,9.0,161.0,171.0,1338163200000
1346976000000,2012-09-07,-26.691345592999586,76.39669333192708,1897.88916015625,8.0,316.0,199.0,1346976000000
1366243200000,2013-04-18,-26.691345592999586,76.39669333192708,1896.792236328125,5.0,60.0,168.0,1366243200000
1366502400000,2013-04-21,-26.691345592999586,76.39669333192708,1899.297607421875,6.0,65.0,162.0,1366588800000
1400198400000,2014-05-16,-26.691345592999586,76.39669333192708,1897.6041259765625,6.0,307.0,195.0,1400198400000
1431043200000,2015-05-08,-26.691345592999586,76.39669333192708,1893.23486328125,3.0,286.0,189.0,1431043200000
1431043200000,2015-05-08,-26.691345592999586,76.39669333192708,1895.759033203125,2.0,330.0,183.0,1431043200000
1431648000000,2015-05-15,-26.691345592999586,76.39669333192708,1893.310302734375,6.0,88.0,163.0,1431648000000
1460332800000,2016-04-11,-26.691345592999586,76.39669333192708,1897.2967529296875,6.0,302.0,196.0,1460332800000
1489881600000,2017-03-19,-26.691345592999586,76.39669333192708,1898.9254150390625,3.0,40.0,175.0,1489881600000
1489968000000,2017-03-20,-26.691345592999586,76.39669333192708,1899.5679931640625,6.0,87.0,162.0,1489968000000
