time,datetime,longitude,latitude,elevation,slope,aspect,hillshade,time_end
1347753600000,2012-09-16,-47.61786963114908,61.27439994014201,1112.2237548828125,3.0,8.0,179.0,1347753600000
1347840000000,2012-09-17,-47.61786963114908,61.27439994014201,1111.842529296875,9.0,205.0,192.0,1347753600000
1347840000000,2012-09-17,-47.61786963114908,61.27439994014201,1107.4322509765625,48.0,318.0,255.0,1347840000000
1347840000000,2012-09-17,-47.61786963114908,61.27439994014201,1109.6112060546875,50.0,335.0,237.0,1347840000000
1359244800000,2013-01-27,-47.61786963114908,61.27439994014201,1111.20166015625,11.0,315.0,204.0,1359244800000
1359244800000,2013-01-27,-47.61786963114908,61.27439994014201,1109.3006591796875,1.0,21.0,179.0,1359244800000
1387670400000,2013-12-22,-47.61786963114908,61.27439994014201,1113.2325439453125,2.0,341.0,182.0,1387670400000
1433203200000,2015-06-02,-47.61786963114908,61.27439994014201,1111.114990234375,2.0,123.0,175.0,1433203200000
1433894400000,2015-06-10,-47.61786963114908,61.27439994014201,1112.2177734375,2.0,318.0,185.0,1433894400000
1434412800000,2015-06-16,-47.61786963114908,61.27439994014201,1113.6636962890625,5.0,356.0,181.0,1434412800000
1461110400000,2016-04-20,-47.61786963114908,61.27439994014201,1109.3955078125,2.0,346.0,182.0,1461110400000
1462233600000,2016-05-03,-47.61786963114908,61.27439994014201,1113.5338134765625,4.0,31.0,173.0,1462233600000
1487721600000,2017-02-22,-47.61786963114908,61.27439994014201,1113.727783203125,4.0,82.0,168.0,1487721600000
1499212800000,2017-07-05,-47.61786963114908,61.27439994014201,1111.903564453125,4.0,319.0,189.0,1499212800000
1499817600000,2017-07-12,-47.61786963114908,61.27439994014201,1109.55419921875,2.0,6.0,180.0,1499817600000
