time,datetime,longitude,latitude,elevation,slope,aspect,hillshade,time_end
1362182400000,2013-03-02,-48.42969511971357,72.09171496214678,2321.278564453125,2.0,261.0,186.0,1362700800000
1369526400000,2013-05-26,-48.42969511971357,72.09171496214678,2317.9990234375,2.0,244.0,185.0,1369526400000
1433289600000,2015-06-03,-48.42969511971357,72.09171496214678,2318.013671875,5.0,254.0,194.0,1433894400000
1433289600000,2015-06-03,-48.42969511971357,72.09171496214678,2321.341064453125,8.0,147.0,166.0,1433894400000
1433894400000,2015-06-10,-48.42969511971357,72.09171496214678,2315.458251953125,6.0,106.0,161.0,1433894400000
1466380800000,2016-06-20,-48.42969511971357,72.09171496214678,2317.9208984375,5.0,301.0,195.0,1466380800000
