time,datetime,longitude,latitude,elevation,slope,aspect,hillshade,time_end
1334188800000,2012-04-12,-27.18389186328232,80.25968261561489,1152.5655517578125,10.0,95.0,148.0,1334188800000
1336435200000,2012-05-08,-27.18389186328232,80.25968261561489,1150.080078125,3.0,235.0,189.0,1336435200000
1363996800000,2013-03-23,-27.18389186328232,80.25968261561489,1149.1728515625,2.0,79.0,174.0,1363996800000
1363996800000,2013-03-23,-27.18389186328232,80.25968261561489,1145.456787109375,5.0,173.0,179.0,1363996800000
1369699200000,2013-05-28,-27.18389186328232,80.25968261561489,1148.853515625,2.0,39.0,177.0,1369699200000
1372723200000,2013-07-02,-27.18389186328232,80.25968261561489,1151.4249267578125,3.0,138.0,173.0,1372723200000
1397001600000,2014-04-09,-27.18389186328232,80.25968261561489,1151.313720703125,5.0,34.0,172.0,1397001600000
1397001600000,2014-04-09,-27.18389186328232,80.25968261561489,1149.2939453125,7.0,48.0,165.0,1397606400000
1397001600000,2014-04-09,-27.18389186328232,80.25968261561489,1150.4859619140625,1.0,126.0,177.0,1397001600000
1397001600000,2014-04-09,-27.18389186328232,80.25968261561489,1152.4256591796875,6.0,78.0,161.0,1397001600000
1397088000000,2014-04-10,-27.18389186328232,80.25968261561489,1149.13916015625,1.0,109.0,177.0,1397088000000
1397260800000,2014-04-12,-27.18389186328232,80.25968261561489,1148.7855224609375,3.0,187.0,181.0,1397260800000
1397606400000,2014-04-16,-27.18389186328232,80.25968261561489,1150.0294189453125,5.0,98.0,166.0,1397606400000
1429401600000,2015-04-19,-27.18389186328232,80.25968261561489,1149.6041259765625,3.0,33.0,176.0,1429401600000
1429401600000,2015-04-19,-27.18389186328232,80.25968261561489,1150.37890625,1.0,160.0,179.0,1429401600000
1432771200000,2015-05-28,-27.18389186328232,80.25968261561489,1149.3270263671875,3.0,255.0,191.0,1432771200000
1462406400000,2016-05-05,-27.18389186328232,80.25968261561489,1145.525634765625,2.0,250.0,185.0,1462406400000
1489536000000,2017-03-15,-27.18389186328232,80.25968261561489,1149.08935546875,5.0,23.0,175.0,1489536000000
