time,datetime,longitude,latitude,elevation,slope,aspect,hillshade,time_end
1346976000000,2012-09-07,-26.889136652257022,77.19606817065367,1667.328857421875,0.0,204.0,181.0,1346976000000
1365033600000,2013-04-04,-26.889136652257022,77.19606817065367,1669.8193359375,9.0,31.0,167.0,1365033600000
1368230400000,2013-05-11,-26.889136652257022,77.19606817065367,1667.6861572265625,6.0,146.0,170.0,1368230400000
1369440000000,2013-05-25,-26.889136652257022,77.19606817065367,1667.0145263671875,4.0,240.0,191.0,1369440000000
1372032000000,2013-06-24,-26.889136652257022,77.19606817065367,1666.2750244140625,7.0,21.0,172.0,1372032000000
1397606400000,2014-04-16,-26.889136652257022,77.19606817065367,1676.707275390625,1.0,84.0,177.0,1398211200000
1397606400000,2014-04-16,-26.889136652257022,77.19606817065367,1671.37353515625,3.0,2.0,180.0,1397606400000
1398211200000,2014-04-23,-26.889136652257022,77.19606817065367,1671.4041748046875,4.0,186.0,182.0,1398211200000
1426550400000,2015-03-17,-26.889136652257022,77.19606817065367,1656.8248291015625,6.0,71.0,162.0,1426550400000
1426550400000,2015-03-17,-26.889136652257022,77.19606817065367,1672.28125,7.0,253.0,201.0,1426550400000
1426550400000,2015-03-17,-26.889136652257022,77.19606817065367,1671.4068603515625,2.0,239.0,186.0,1426550400000
1430179200000,2015-04-28,-26.889136652257022,77.19606817065367,1661.9600830078125,22.0,257.0,247.0,1430697600000
1430179200000,2015-04-28,-26.889136652257022,77.19606817065367,1684.8873291015625,8.0,145.0,167.0,1430697600000
1461110400000,2016-04-20,-26.889136652257022,77.19606817065367,1674.34375,0.0,50.0,179.0,1461110400000
1461369600000,2016-04-23,-26.889136652257022,77.19606817065367,1665.7191162109375,2.0,19.0,178.0,1461369600000
1492041600000,2017-04-13,-26.889136652257022,77.19606817065367,1670.1129150390625,3.0,301.0,187.0,1492041600000
1492300800000,2017-04-16,-26.889136652257022,77.19606817065367,1666.2125244140625,3.0,290.0,188.0,1492300800000
1492560000000,2017-04-19,-26.889136652257022,77.19606817065367,1665.2176513671875,1.0,32.0,178.0,1492560000000
1492905600000,2017-04-23,-26.889136652257022,77.19606817065367,1665.2847900390625,7.0,262.0,201.0,1492905600000
1493856000000,2017-05-04,-26.889136652257022,77.19606817065367,1668.523193359375,4.0,14.0,177.0,1493856000000
1494028800000,2017-05-06,-26.889136652257022,77.19606817065367,1674.6759033203125,4.0,322.0,188.0,1494028800000
1494115200000,2017-05-07,-26.889136652257022,77.19606817065367,1662.591064453125,4.0,199.0,184.0,1494115200000
1494201600000,2017-05-08,-26.889136652257022,77.19606817065367,1665.3681640625,3.0,308.0,188.0,1494201600000
1494374400000,2017-05-10,-26.889136652257022,77.19606817065367,1668.4034423828125,11.0,255.0,212.0,1494374400000
1494633600000,2017-05-13,-26.889136652257022,77.19606817065367,1667.77685546875,6.0,344.0,186.0,1494633600000
1494720000000,2017-05-14,-26.889136652257022,77.19606817065367,1668.8509521484375,4.0,230.0,191.0,1494720000000
1494806400000,2017-05-15,-26.889136652257022,77.19606817065367,1670.410888671875,2.0,359.0,180.0,1494806400000
1494979200000,2017-05-17,-26.889136652257022,77.19606817065367,1664.492919921875,4.0,275.0,193.0,1494979200000
1495065600000,2017-05-18,-26.889136652257022,77.19606817065367,1671.3150634765625,10.0,240.0,206.0,1495065600000
1495152000000,2017-05-19,-26.889136652257022,77.19606817065367,1668.56103515625,1.0,9.0,180.0,1495152000000
1495238400000,2017-05-20,-26.889136652257022,77.19606817065367,1672.3193359375,3.0,315.0,187.0,1495238400000
1495238400000,2017-05-20,-26.889136652257022,77.19606817065367,1667.969482421875,11.0,339.0,192.0,1495238400000
1495324800000,2017-05-21,-26.889136652257022,77.19606817065367,1665.951904296875,4.0,353.0,182.0,1495324800000
1495584000000,2017-05-24,-26.889136652257022,77.19606817065367,1672.3404541015625,7.0,323.0,194.0,1495584000000
1495670400000,2017-05-25,-26.889136652257022,77.19606817065367,1667.472900390625,5.0,15.0,176.0,1495670400000
1495756800000,2017-05-26,-26.889136652257022,77.19606817065367,1667.7838134765625,4.0,359.0,181.0,1495756800000
1495843200000,2017-05-27,-26.889136652257022,77.19606817065367,1671.3350830078125,4.0,341.0,184.0,1495843200000
1496102400000,2017-05-30,-26.889136652257022,77.19606817065367,1663.138671875,3.0,256.0,189.0,1496102400000
