time,datetime,longitude,latitude,elevation,slope,aspect,hillshade,time_end
1359763200000,2013-02-02,-49.369835963461696,64.67714637116403,1179.158935546875,10.0,275.0,212.0,1359763200000
1394323200000,2014-03-09,-49.369835963461696,64.67714637116403,1177.1488037109375,8.0,278.0,206.0,1394323200000
1404432000000,2014-07-04,-49.369835963461696,64.67714637116403,1178.4591064453125,6.0,348.0,184.0,1404432000000
1407196800000,2014-08-05,-49.369835963461696,64.67714637116403,1176.6500244140625,7.0,282.0,202.0,1407196800000
1411776000000,2014-09-27,-49.369835963461696,64.67714637116403,1183.33447265625,11.0,295.0,213.0,1411776000000
1412380800000,2014-10-04,-49.369835963461696,64.67714637116403,1175.1107177734375,8.0,345.0,186.0,1412380800000
1414454400000,2014-10-28,-49.369835963461696,64.67714637116403,1176.220947265625,6.0,300.0,197.0,1414454400000
1436745600000,2015-07-13,-49.369835963461696,64.67714637116403,1175.860107421875,7.0,263.0,201.0,1436745600000
1461715200000,2016-04-27,-49.369835963461696,64.67714637116403,1178.561767578125,9.0,252.0,208.0,1461715200000
1502668800000,2017-08-14,-49.369835963461696,64.67714637116403,1179.7200927734375,3.0,281.0,190.0,1502668800000
1502668800000,2017-08-14,-49.369835963461696,64.67714637116403,1174.6728515625,8.0,277.0,205.0,1502668800000
