time,datetime,longitude,latitude,elevation,slope,aspect,hillshade,time_end
1317081600000,2011-09-27,-36.32784314033493,66.02729627688998,819.49267578125,18.0,266.0,237.0,1317081600000
1340150400000,2012-06-20,-36.32784314033493,66.02729627688998,846.9915161132812,72.0,338.0,243.0,1340150400000
1344124800000,2012-08-05,-36.32784314033493,66.02729627688998,855.0324096679688,69.0,339.0,240.0,1344211200000
1344124800000,2012-08-05,-36.32784314033493,66.02729627688998,863.5297241210938,57.0,343.0,225.0,1344124800000
1344211200000,2012-08-06,-36.32784314033493,66.02729627688998,841.01171875,8.0,93.0,155.0,1344211200000
1437004800000,2015-07-16,-36.32784314033493,66.02729627688998,842.4901733398438,42.0,24.0,131.0,1437004800000
1463011200000,2016-05-12,-36.32784314033493,66.02729627688998,838.7030029296875,58.0,8.0,159.0,1463011200000
1472428800000,2016-08-29,-36.32784314033493,66.02729627688998,808.600341796875,47.0,24.0,126.0,1472428800000
1502236800000,2017-08-09,-36.32784314033493,66.02729627688998,772.073974609375,39.0,36.0,114.0,1502236800000
