time,datetime,Blue,Green,Red,NIR,visnirAlbedo
1250602548231,2009-08-18 13:35:48.231,0.5905144214630127,0.5966836810112,0.5955907702445984,0.5174007415771484,0.4732086942315102
1250688626391,2009-08-19 13:30:26.391,0.3082698881626129,0.337694376707077,0.35776495933532715,0.25462806224823,0.2457624743551017
1251984962912,2009-09-03 13:36:02.912,0.2478581815958023,0.26138079166412354,0.278664767742157,0.18701326847076416,0.2216024643734098
1274966772607,2010-05-27 13:26:12.607,0.49383747577667236,0.45586124062538147,0.486787885427475,0.3918541669845581,0.3708843614399434
1275571944133,2010-06-03 13:32:24.133,0.1799025684595108,0.2596816122531891,0.27049505710601807,0.1999572515487671,0.19539751722961668
1277559517816,2010-06-26 13:38:37.816,0.15396854281425476,0.14932499825954437,0.18016153573989868,0.10721982270479202,0.16758469019010666
1277731576582,2010-06-28 13:26:16.582,0.1589675098657608,0.15096454322338104,0.19448767602443695,0.11543875187635422,0.153903291849047
1278941920043,2010-07-12 13:38:40.043,0.34617114067077637,0.3449084162712097,0.3631628155708313,0.3128925859928131,0.32378634124100214
1281706719722,2010-08-13 13:38:39.722,0.13142776489257812,0.13546335697174072,0.17756472527980804,0.10805170238018036,0.14476101364344363
1283261181586,2010-08-31 13:26:21.586,0.25325098633766174,0.26090383529663086,0.28785568475723267,0.216994047164917,0.235846027687192
1308144460416,2011-06-15 13:27:40.416,0.6305969953536987,0.603927493095398,0.6267815232276917,0.5374655723571777,0.47058489571809775
1308749629448,2011-06-22 13:33:49.448,0.42345812916755676,0.4357394874095917,0.4009476602077484,0.28993284702301025,0.36561532075107106
1309526856670,2011-07-01 13:27:36.670,0.3004836142063141,0.3221335709095001,0.35125839710235596,0.23386447131633759,0.220220475973189
1310132027717,2011-07-08 13:33:47.717,0.2572198808193207,0.2551206946372986,0.2952084243297577,0.1867137998342514,0.19298313072472806
1312896820588,2011-08-09 13:33:40.588,0.2622794210910797,0.2660013437271118,0.29211559891700745,0.21147039532661438,0.2339566387712956
1314279219149,2011-08-25 13:33:39.149,0.1744188517332077,0.17469331622123718,0.22191452980041504,0.1492794305086136,0.16539832880496985
1315661613974,2011-09-10 13:33:33.974,0.13779008388519287,0.17442502081394196,0.21782968938350677,0.14881357550621033,0.14440537822246555
1317044010665,2011-09-26 13:33:30.665,0.8213150501251221,0.8131042718887329,0.8235837817192078,0.7845990061759949,0.6492096854388716
1338557310167,2012-06-01 13:28:30.167,0.5561276078224182,0.57068932056427,0.5746121406555176,0.48226234316825867,0.4324443492442371
1339162476852,2012-06-08 13:34:36.852,0.3567749857902527,0.3919784128665924,0.38125285506248474,0.2986176311969757,0.32363348996937286
1340544885058,2012-06-24 13:34:45.058,0.1829928308725357,0.15859590470790863,0.17636846005916595,0.13247555494308472,0.22722434757798915
1341150062251,2012-07-01 13:41:02.251,0.2936365604400635,0.2932775020599365,0.3236856460571289,0.24055275321006775,0.2484528529971838
1341322121836,2012-07-03 13:28:41.836,0.4646011292934418,0.4518964886665344,0.4583398103713989,0.41015541553497314,0.4144553101271391
1341927299524,2012-07-10 13:34:59.524,0.14742444455623627,0.15349839627742767,0.17674776911735535,0.10728637129068375,0.17231817868873478
1343309709807,2012-07-26 13:35:09.807,0.1486666202545166,0.14837108552455902,0.18579278886318207,0.1252215951681137,0.16889549285918476
1343914884807,2012-08-02 13:41:24.807,0.12146013230085373,0.15859590470790863,0.17826499044895172,0.10335992276668549,0.15031742044463758
1344086945092,2012-08-04 13:29:05.092,0.13206399977207184,0.14631418883800507,0.1865222305059433,0.10312700271606445,0.13305924380272632
1344692121651,2012-08-11 13:35:21.651,0.14406150579452515,0.16747929155826569,0.1643473207950592,0.12282580137252808,0.2180690806895495
1345297296971,2012-08-18 13:41:36.971,0.15702851116657257,0.15653902292251587,0.18092013895511627,0.13194315135478973,0.1969634168565273
1346074530539,2012-08-27 13:35:30.539,0.1431829035282135,0.15859590470790863,0.2069464772939682,0.1624230444431305,0.16814571250975135
1346679707090,2012-09-03 13:41:47.090,0.11440099030733109,0.1329295039176941,0.1749679297208786,0.11650355160236359,0.14226335208341484
1347456941184,2012-09-12 13:35:41.184,0.3859507739543915,0.4010108411312103,0.45513027906417847,0.3997070789337158,0.30981805694401277
1348062114908,2012-09-19 13:41:54.908,0.3663487732410431,0.3955257833003998,0.4350561797618866,0.38945838809013367,0.3179890607178211
1371562925631,2013-06-18 13:42:05.631,0.6656806468963623,0.6578835844993591,0.6509988307952881,0.5179997086524963,0.4786132339179517
1371734983236,2013-06-20 13:29:43.236,0.530920684337616,0.5263320803642273,0.5595273971557617,0.4477229118347168,0.3735228913128377
1374499765186,2013-07-22 13:29:25.186,0.21504679322242737,0.20253585278987885,0.2238694280385971,0.16159117221832275,0.22648725718259813
1375104931773,2013-07-29 13:35:31.773,0.17884217202663422,0.19463619589805603,0.23183488845825195,0.15726542472839355,0.17396959419101482
1378474920190,2013-09-06 13:42:00.190,0.4823247194290161,0.47341930866241455,0.4984588921070099,0.4171099066734314,0.37798311935067186
1378561337411,2013-09-07 13:42:17.411,0.8208550214767456,0.7343400120735168,0.706702470779419,0.6226624846458435,0.6518296955049041
1378646979997,2013-09-08 13:29:39.997,0.9424717426300049,0.966953694820404,0.9812589883804321,0.9943313002586365,0.7678697564184667
1402667168949,2014-06-13 13:46:08.949,0.6046774983406067,0.5173649787902832,0.5264400243759155,0.4532899856567383,0.4882530084192753
1402839227703,2014-06-15 13:33:47.703,0.30454251170158386,0.2562524974346161,0.2721475064754486,0.25815001130104065,0.3375927780091763
