time,datetime,longitude,latitude,visnirAlbedo,id
1369068318641,2013-05-20 16:45:18.641,-62.63121534527613,76.94703720759007,0.7305928719162942,0
1400863366712,2014-05-23 16:42:46.712,-62.63121534527613,76.94703720759007,0.7394448415815833,0
1431276141564,2015-05-10 16:42:21.564,-62.63121534527613,76.94703720759007,0.7305983130335809,0
1434040952561,2015-06-11 16:42:32.561,-62.63121534527613,76.94703720759007,0.7182323569178581,0
1369068318641,2013-05-20 16:45:18.641,-62.59618104919547,76.92224370574837,0.7409024009048941,1
1400863366712,2014-05-23 16:42:46.712,-62.59618104919547,76.92224370574837,0.7337100784599782,1
1431276141564,2015-05-10 16:42:21.564,-62.59618104919547,76.92224370574837,0.7265492572307586,1
1434040952561,2015-06-11 16:42:32.561,-62.59618104919547,76.92224370574837,0.7110133959710598,1
1439570579533,2015-08-14 16:42:59.533,-62.59618104919547,76.92224370574837,0.6982576131522658,1
1439570603458,2015-08-14 16:43:23.458,-62.59618104919547,76.92224370574837,0.6782353943288326,1
1469639280887,2016-07-27 17:08:00.887,-62.59618104919547,76.92224370574837,0.7497014742136003,1
1369068318641,2013-05-20 16:45:18.641,-62.11055180660046,76.56570236948133,0.737167818236351,2
1400863366712,2014-05-23 16:42:46.712,-62.11055180660046,76.56570236948133,0.7343379645228387,2
1427128993868,2015-03-23 16:43:13.868,-62.11055180660046,76.56570236948133,0.6986594262421131,2
1431276141564,2015-05-10 16:42:21.564,-62.11055180660046,76.56570236948133,0.7299681154847146,2
1434040952561,2015-06-11 16:42:32.561,-62.11055180660046,76.56570236948133,0.6352895327508452,2
1284127550578,2010-09-10 14:05:50.578,-45.779718930478026,61.651602527943794,0.7062496449470521,4
1378130943511,2013-09-02 14:09:03.511,-45.779718930478026,61.651602527943794,0.6253688361167908,4
1467901178219,2016-07-07 14:19:38.219,-45.779718930478026,61.651602527943794,0.6698843449831009,4
1250949823759,2009-08-22 14:03:43.759,-45.77405954418808,61.44463068648266,0.3953075556576252,5
1255097015393,2009-10-09 14:03:35.393,-45.77405954418808,61.44463068648266,0.597271651464701,5
1281967917775,2010-08-16 14:11:57.775,-45.77405954418808,61.44463068648266,0.42922673669457445,5
1284127550578,2010-09-10 14:05:50.578,-45.77405954418808,61.44463068648266,0.4506479646205904,5
1312380791094,2011-08-03 14:13:11.094,-45.77405954418808,61.44463068648266,0.4343931679189205,5
1313158017806,2011-08-12 14:06:57.806,-45.77405954418808,61.44463068648266,0.4884449045389891,5
1317305208265,2011-09-29 14:06:48.265,-45.77405954418808,61.44463068648266,0.4940697443544865,5
1317910377192,2011-10-06 14:12:57.192,-45.77405954418808,61.44463068648266,0.6191195076823239,5
1318687609929,2011-10-15 14:06:49.929,-45.77405954418808,61.44463068648266,0.6346797220706943,5
1319292785036,2011-10-22 14:13:05.036,-45.77405954418808,61.44463068648266,0.648690929335356,5
1340806083997,2012-06-27 14:08:03.997,-45.77405954418808,61.44463068648266,0.4136726490050555,5
1342188499239,2012-07-13 14:08:19.239,-45.77405954418808,61.44463068648266,0.4429126919060946,5
1342793674730,2012-07-20 14:14:34.730,-45.77405954418808,61.44463068648266,0.43770800492763534,5
1344953321042,2012-08-14 14:08:41.042,-45.77405954418808,61.44463068648266,0.5153080066800119,5
1345558495942,2012-08-21 14:14:55.942,-45.77405954418808,61.44463068648266,0.4471507376968859,5
1346940906457,2012-09-06 14:15:06.457,-45.77405954418808,61.44463068648266,0.4911865784049035,5
1347718139632,2012-09-15 14:08:59.632,-45.77405954418808,61.44463068648266,0.6968978060364723,5
1365603881817,2013-04-10 14:24:41.817,-45.77405954418808,61.44463068648266,0.6738912243247033,5
1376748532061,2013-08-17 14:08:52.061,-45.77405954418808,61.44463068648266,0.4665705013692379,5
1380895765340,2013-10-04 14:09:25.340,-45.77405954418808,61.44463068648266,0.6420727795660497,5
1382278176298,2013-10-20 14:09:36.298,-45.77405954418808,61.44463068648266,0.4891567609786988,5
1402323194203,2014-06-09 14:13:14.203,-45.77405954418808,61.44463068648266,0.6055761259257795,5
1404310771245,2014-07-02 14:19:31.245,-45.77405954418808,61.44463068648266,0.4027164303541184,5
1405088004929,2014-07-11 14:13:24.929,-45.77405954418808,61.44463068648266,0.35137155618667604,5
1407075583851,2014-08-03 14:19:43.851,-45.77405954418808,61.44463068648266,0.38197033778429035,5
1407852816566,2014-08-12 14:13:36.566,-45.77405954418808,61.44463068648266,0.32033124174475675,5
1408457988683,2014-08-19 14:19:48.683,-45.77405954418808,61.44463068648266,0.3425316707789899,5
1436105951210,2015-07-05 14:19:11.210,-45.77405954418808,61.44463068648266,0.5894533875226973,5
1436883185895,2015-07-14 14:13:05.895,-45.77405954418808,61.44463068648266,0.5513549089670182,5
1437488359258,2015-07-21 14:19:19.258,-45.77405954418808,61.44463068648266,0.492635538831353,5
1438265590348,2015-07-30 14:13:10.348,-45.77405954418808,61.44463068648266,0.4315634244143964,5
1439647996194,2015-08-15 14:13:16.194,-45.77405954418808,61.44463068648266,0.39935591974258416,5
1440253170152,2015-08-22 14:19:30.152,-45.77405954418808,61.44463068648266,0.35702099111378194,5
1462371561279,2016-05-04 14:19:21.279,-45.77405954418808,61.44463068648266,0.5967990707278252,5
1463148785439,2016-05-13 14:13:05.439,-45.77405954418808,61.44463068648266,0.4351479272097348,5
1465136364889,2016-06-05 14:19:24.889,-45.77405954418808,61.44463068648266,0.4033187365293503,5
1465913595078,2016-06-14 14:13:15.078,-45.77405954418808,61.44463068648266,0.4295287750273944,5
