time,datetime,elevation,slope,aspect,hillshade,time_end
1365033600000,2013-04-04,1418.9669189453125,6.0,47.0,167.0,1365033600000
1365465600000,2013-04-09,1404.927978515625,5.0,49.0,168.0,1364774400000
1365465600000,2013-04-09,1414.8768310546875,5.0,49.0,168.0,1365465600000
1369440000000,2013-05-25,1415.044921875,6.0,49.0,167.0,1369440000000
1371686400000,2013-06-20,1417.169189453125,6.0,47.0,167.0,1371686400000
1397520000000,2014-04-15,1413.6014404296875,4.0,46.0,170.0,1397520000000
1425945600000,2015-03-10,1403.205078125,6.0,52.0,166.0,1426204800000
1425945600000,2015-03-10,1417.727783203125,6.0,50.0,167.0,1425945600000
1426204800000,2015-03-13,1415.41259765625,5.0,52.0,168.0,1426204800000
1430179200000,2015-04-28,1424.9222412109375,6.0,49.0,167.0,1430697600000
1461715200000,2016-04-27,1418.557373046875,4.0,50.0,170.0,1461715200000
1461801600000,2016-04-28,1408.7847900390625,5.0,50.0,169.0,1461801600000
1490745600000,2017-03-29,1412.3875732421875,5.0,53.0,167.0,1490745600000
