time,datetime,elevation,slope,aspect,hillshade,time_end
1333843200000,2012-04-08,740.4854125976562,7.0,324.0,194.0,1333670400000
1339200000000,2012-06-09,740.6177368164062,7.0,323.0,194.0,1339459200000
1339200000000,2012-06-09,729.5972290039062,9.0,322.0,197.0,1339459200000
1339200000000,2012-06-09,735.286376953125,8.0,322.0,195.0,1339200000000
1339372800000,2012-06-11,737.068603515625,8.0,322.0,195.0,1339372800000
1339459200000,2012-06-12,730.1964111328125,8.0,323.0,196.0,1339459200000
1339545600000,2012-06-13,738.22509765625,8.0,320.0,196.0,1339545600000
1340668800000,2012-06-26,736.6387939453125,5.0,317.0,192.0,1340755200000
1340668800000,2012-06-26,734.6045532226562,8.0,317.0,198.0,1340668800000
1364688000000,2013-03-31,727.7061767578125,8.0,323.0,196.0,1364774400000
1364688000000,2013-03-31,733.5073852539062,8.0,323.0,195.0,1364688000000
1367712000000,2013-05-05,736.1890258789062,8.0,320.0,197.0,1367884800000
1367798400000,2013-05-06,730.1688232421875,8.0,318.0,198.0,1367798400000
1367884800000,2013-05-07,728.1900024414062,8.0,322.0,197.0,1367884800000
1369008000000,2013-05-20,735.243408203125,8.0,319.0,197.0,1369008000000
1369008000000,2013-05-20,734.0476684570312,7.0,323.0,194.0,1369008000000
1369180800000,2013-05-22,735.4142456054688,8.0,320.0,196.0,1369180800000
1369785600000,2013-05-29,735.1864013671875,8.0,321.0,196.0,1369785600000
1371081600000,2013-06-13,730.6766357421875,8.0,318.0,197.0,1371081600000
1371859200000,2013-06-22,738.616455078125,8.0,321.0,195.0,1372032000000
1373414400000,2013-07-10,730.0910034179688,9.0,322.0,197.0,1373414400000
1373414400000,2013-07-10,734.4395141601562,8.0,319.0,196.0,1373414400000
1374710400000,2013-07-25,732.235107421875,8.0,318.0,197.0,1374710400000
1375920000000,2013-08-08,700.4187622070312,26.0,21.0,151.0,1376438400000
1375920000000,2013-08-08,729.80712890625,8.0,318.0,197.0,1375920000000
1376352000000,2013-08-13,737.2999267578125,7.0,322.0,195.0,1376352000000
1378771200000,2013-09-10,734.5409545898438,9.0,3.0,179.0,1379289600000
1378771200000,2013-09-10,732.327880859375,9.0,319.0,198.0,1379289600000
1378771200000,2013-09-10,729.4625854492188,8.0,320.0,197.0,1378771200000
1379116800000,2013-09-14,739.3248901367188,8.0,320.0,196.0,1379116800000
1379289600000,2013-09-16,732.6571044921875,8.0,319.0,197.0,1379289600000
1429315200000,2015-04-18,735.4749755859375,8.0,322.0,195.0,1429315200000
1460592000000,2016-04-14,741.5148315429688,7.0,322.0,195.0,1460592000000
1489968000000,2017-03-20,730.6689453125,8.0,320.0,197.0,1489968000000
1490140800000,2017-03-22,735.2145385742188,8.0,321.0,196.0,1490140800000
